radar_id,radar,wfo,lat,lon,elevation,radar_type,state,full_name,asos_one,asos_two
PABC,pabc,pafc,60.79198,-161.87648,57,1,AK,Bethel,pabe,ppit
PACG,pacg,pajk,56.85264,-135.52875,82,1,AK,Biorka Island,pasi,pagn
PAHG,pahg,pafc,60.72598,-151.35155,108,1,AK,Kenai,paen,pasx
PAKC,pakc,pafc,58.67962,-156.62949,43,1,AK,King Salmon,pakn,paig
PAIH,paih,pafc,59.46127,-146.30351,40,1,AK,Middleton Island,pamd,pacv
PAEC,paec,pafg,64.51152,-165.29547,27,1,AK,Nome,paom,pate
PAPD,papd,pafg,65.03508,-147.50156,825,1,AK,Pedro Dome,pafa,pafb
KBMX,kbmx,kbmx,33.17216,-86.76974,231,1,AL,Birmingham,keet,keky
KEOX,keox,ktae,31.46054,-85.45937,163,1,AL,Fort Rucker,kdhn,khey
KHTX,khtx,khun,34.93048,-86.08347,566,1,AL,Huntsville,k4a6,kbgf
KMXX,kmxx,kbmx,32.53668,-85.78975,170,1,AL,Maxwell AFB,kauo,kalx
KMOB,kmob,kmob,30.67955,-88.23988,88,1,AL,Mobile,kmob,kbfm
KSRX,ksrx,ktsa,35.29044,-94.36192,224,1,AR,Fort Smith,kfsm,krkr
KLZK,klzk,klzk,34.83653,-92.26219,197,1,AR,Little Rock,kork,klit
KFSX,kfsx,kfgz,34.57437,-111.1984,2290,1,AZ,Flagstaff,kpan,ksez
KIWA,kiwa,kpsr,33.28996,-111.66997,434,1,AZ,Phoenix,kiwa,kchd
KEMX,kemx,ktwc,31.89365,-110.63037,1621,1,AZ,Tucson,ktus,kdma
KYUX,kyux,kpsr,32.49519,-114.6567,72,1,AZ,Yuma,kynl,knoz
KBBX,kbbx,ksto,39.49564,-121.63176,67,1,CA,Beale AFB,kove,kbab
KEYX,keyx,kvef,35.09783,-117.56094,875,1,CA,Edwards AFB,kehw,kmhv
KBHX,kbhx,keka,40.49863,-124.29204,766,1,CA,Eureka,kacv,kfot
KVTX,kvtx,klox,34.41161,-119.17963,855,1,CA,Los Angeles,kcma,koxr
KDAX,kdax,ksto,38.50114,-121.67791,43,1,CA,Sacramento,kedu,ksac
KNKX,knkx,ksgx,32.91896,-117.04178,320,1,CA,San Diego,knkx,ksee
KMUX,kmux,kmtr,37.15556,-121.89845,1082,1,CA,San Francisco,ksjc,ke16
KHNX,khnx,khnx,36.31421,-119.63211,103,1,CA,San Joaquin Valley,khjo,kvis
KSOX,ksox,ksgx,33.81766,-117.63599,946,1,CA,Santa Ana Mountains,kajo,kcno
KVBX,kvbx,klox,34.83831,-120.39805,412,1,CA,Vandenberg AFB,,
KFTG,kftg,kbou,39.78661,-104.54572,1709,1,CO,Denver/Boulder,kcfo,kden
KGJX,kgjx,kgjt,39.06214,-108.21375,3078,1,CO,Grand Junction,kgjt,kril
KPUX,kpux,kpub,38.45964,-104.18135,1634,1,CO,Pueblo,kabh,kpub
KDOX,kdox,kakq,38.82574,-75.44004,49,1,DE,Dover AFB,kged,kdov
KEVX,kevx,kmob,30.56503,-85.92174,67,1,FL,Eglin AFB,k54j,kecp
KJAX,kjax,kjax,30.48459,-81.70189,48,1,FL,Jacksonville,kjax,knip
KBYX,kbyx,kkey,24.59745,-81.70316,27,1,FL,Key West,knqx,keyw
KMLB,kmlb,kmlb,28.11311,-80.65357,45,1,FL,Melbourne,kmlb,kcof
KAMX,kamx,kmfl,25.61122,-80.41267,33,1,FL,Miami,ktmb,khst
KTLH,ktlh,ktae,30.39768,-84.32887,53,1,FL,Tallahassee,ktlh,k2j9
KTBW,ktbw,ktbw,27.70544,-82.40178,37,1,FL,Tampa,kmcf,kspg
KFFC,kffc,kffc,33.36354,-84.56602,296,1,GA,Atlanta,kffc,khmp
KVAX,kvax,kjax,30.89025,-83.00169,100,1,GA,Moody AFB,kvad,khoe
KJGX,kjgx,kffc,32.67557,-83.35094,188,1,GA,Robins AFB,kwrb,kmcn
PGUA,pgua,pgum,13.4559,144.81104,117,1,GU,Andersen AFB,pgum,pgua
PHKI,phki,phfo,21.89389,-159.5525,103,1,HI,Kauai,phli,phbk
PHKM,phkm,phfo,20.12535,-155.77801,1208,1,HI,Kohala,phsf,phko
PHMO,phmo,phfo,21.13284,-157.18013,440,1,HI,Molokai,phmk,phny
PHWA,phwa,phfo,19.09498,-155.56886,445,1,HI,South Shore,phko,phto
KDMX,kdmx,kdmx,41.7312,-93.72296,333,1,IA,Des Moines,kikv,kdsm
KDVN,kdvn,kdvn,41.61237,-90.58207,259,1,IA,Quad Cities,kdvn,kmli
KCBX,kcbx,kboi,43.49026,-116.23613,966,1,ID,Boise,kboi,kman
KSFX,ksfx,kpih,43.10558,-112.68633,1383,1,ID,Pocatello,kpih,kida
KLOT,klot,klot,41.60445,-88.08451,231,1,IL,Chicago,klot,kjot
KILX,kilx,kilx,40.15056,-89.33698,222,1,IL,Lincoln,kaaa,kspi
KVWX,kvwx,kpah,38.26038,-87.72454,191,1,IN,Evansville,kevv,kcul
KIWX,kiwx,kiwx,41.35867,-85.6998,321,1,IN,Fort Wayne,kgsh,kasw
KIND,kind,kind,39.7075,-86.28026,270,1,IN,Indianapolis,kind,keye
RODN,rodn,pafc,26.30781,127.90329,125,1,JP,Kadena AFB,rodn,rotm
RKSG,rksg,pafc,37.20762,127.28575,463,1,KR,Camp Humphreys,rksg,rkso
RKJK,rkjk,pafc,35.92436,126.62214,58,1,KR,Kunsan AFB,rkjk,rjkb
KDDC,kddc,kddc,37.76083,-99.96887,814,1,KS,Dodge City,kddc,kgck
KGLD,kgld,kgld,39.36684,-101.70033,1132,1,KS,Goodland,kgld,kcbk
KTWX,ktwx,ktop,38.99694,-96.23251,431,1,KS,Topeka,kmhk,kfri
KICT,kict,kict,37.65457,-97.44312,427,1,KS,Wichita,kict,kiab
KHPX,khpx,kpah,36.73696,-87.28555,190,1,KY,Fort Campbell,kckv,khvc
KJKL,kjkl,kjkl,37.59079,-83.31299,445,1,KY,Jackson,kjkl,kcpf
KLVX,klvx,klmk,37.97528,-85.9436,253,1,KY,Louisville,kftk,ksdf
KPAH,kpah,kpah,37.06848,-88.77232,153,1,KY,Paducah,kpah,km30
KPOE,kpoe,klch,31.15574,-92.97607,143,1,LA,Fort Polk,kpoe,kaex
KLCH,klch,klch,30.12532,-93.21586,41,1,LA,Lake Charles,klch,kuxl
KLIX,klix,klix,30.33677,-89.82545,54,0,LA,New Orleans,kasd,kmjd
KHDC,khdc,klix,30.519,-90.407,13,1,LA,New Orleans,khdc,kasd
KSHV,kshv,kshv,32.45079,-93.84132,117,1,LA,Shreveport,kshv,kdtn
KBOX,kbox,kbox,41.95585,-71.13699,70,1,MA,Boston,ktan,kpym
KCBW,kcbw,kcar,46.03928,-67.80636,261,1,ME,Caribou,khul,cewd
KGYX,kgyx,kgyx,43.89135,-70.25642,144,1,ME,Portland,kpwm,kiwi
KDTX,kdtx,kdtx,42.69997,-83.47167,370,1,MI,Detroit,kptk,kvll
KAPX,kapx,kapx,44.90712,-84.7196,475,1,MI,Gaylord,kglr,kgov
KGRR,kgrr,kgrr,42.8939,-85.54479,266,1,MI,Grand Rapids,kgrr,ky70
KMQT,kmqt,kmqt,46.53115,-87.54829,464,1,MI,Marquette,ksaw,kp53
KDLH,kdlh,kdlh,46.83689,-92.21005,470,1,MN,Duluth,kdlh,kdyt
KMPX,kmpx,kmpx,44.84877,-93.56541,335,1,MN,Minneapolis,kfcm,kmsp
KEAX,keax,keax,38.81023,-94.26426,334,1,MO,Kansas City,klxt,klry
KSGF,ksgf,ksgf,37.23521,-93.40067,419,1,MO,Springfield,ksgf,kfwb
KLSX,klsx,klsx,38.69868,-90.68259,219,1,MO,St. Louis,ksus,kstl
KGWX,kgwx,kjan,33.8969,-88.32911,179,1,MS,Columbus AFB,km40,kcbm
KDGX,kdgx,kjan,32.27982,-89.98447,185,1,MS,Jackson,kjan,kmbo
KBLX,kblx,kbyz,45.85389,-108.60686,1128,1,MT,Billings,kbil,k6s8
KGGW,kggw,kggw,48.20647,-106.62489,726,1,MT,Glasgow,kggw,kolf
KTFX,ktfx,ktfx,47.45965,-111.38552,1159,1,MT,Great Falls,kgtf,kgfa
KMSX,kmsx,kmso,47.04103,-113.98624,2431,1,MT,Missoula,kmso,khrf
KMHX,kmhx,kmhx,34.77594,-76.87627,43,1,NC,Morehead City,knkt,knjm
KRAX,krax,krah,35.66558,-78.48976,140,1,NC,Raleigh/Durham,kjnx,krdu
KLTX,kltx,kilm,33.98917,-78.429,44,1,NC,Wilmington,ksut,kcre
KBIS,kbis,kbis,46.77104,-100.76064,534,1,ND,Bismarck,kbis,ky19
KMVX,kmvx,kfgf,47.5289,-97.32525,329,1,ND,Grand Forks,kgfk,krdr
KMBX,kmbx,kbis,48.39305,-100.86457,484,1,ND,Minot AFB,kmot,kmib
KUEX,kuex,kgid,40.32096,-98.44204,626,1,NE,Hastings,khsi,kear
KLNX,klnx,klbf,41.95786,-100.57639,948,1,NE,North Platte,ktif,kbbw
KOAX,koax,koax,41.32029,-96.36686,384,1,NE,Omaha,kahq,kfet
